2016-04-11 20:54:17,816 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: GLPOOtest:GLPOOtest:0.0.1-SNAPSHOT @ C:\Users\louix\eclipse\glpootest\GLPOOtest\pom.xml.
2016-04-11 20:54:18,568 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 20:54:18,579 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-04-11 20:54:18,601 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 20:54:18,602 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\louix\eclipse\glpootest\GLPOOtest\src\test\resources
2016-04-11 20:54:18,617 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /GLPOOtest/src
2016-04-11 20:54:18,618 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /GLPOOtest/src overlaps with sources folder /GLPOOtest/src
2016-04-11 20:54:18,624 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /GLPOOtest/src/test/java because it overlaps with /GLPOOtest/src
2016-04-11 20:54:18,749 [Worker-14] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-04-11 20:54:19,884 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: GLPOOtest:GLPOOtest:0.0.1-SNAPSHOT @ C:\Users\louix\eclipse\glpootest\GLPOOtest\pom.xml.
2016-04-11 20:54:20,598 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 20:54:20,605 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-04-11 20:54:20,623 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 20:54:20,624 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\louix\eclipse\glpootest\GLPOOtest\src\test\resources
2016-04-11 20:54:20,634 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /GLPOOtest/src
2016-04-11 20:54:20,634 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /GLPOOtest/src overlaps with sources folder /GLPOOtest/src
2016-04-11 20:54:20,639 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /GLPOOtest/src/test/java because it overlaps with /GLPOOtest/src
2016-04-11 20:54:20,718 [Worker-14] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2016-04-11 20:54:21,742 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 20:54:21,744 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-04-11 20:54:21,751 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 20:54:21,753 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\louix\eclipse\glpootest\GLPOOtest\src\test\resources
2016-04-11 20:54:27,794 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 20:54:27,795 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 20:54:27,799 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 20:54:27,800 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\louix\eclipse\glpootest\GLPOOtest\src\test\resources
2016-04-11 20:54:32,079 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 20:54:32,081 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 20:54:32,084 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 20:54:32,086 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\louix\eclipse\glpootest\GLPOOtest\src\test\resources
2016-04-11 20:54:34,886 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
